Image_File,Image_Text,IsSpam
../Data/Processed\Dredze Spam\1000.jpg,CRITICAL INVESTOR ALERT!  ESPION INTERNATIONAL INC CEPL 3 PK) On: Pinksheets  Symbol: EPLI  Current Price: 0.13  Market Cap: «$17 Millions  Breaking News Released! Espion Partners with Remington Associates to Battle the $25 Billion Corporate Espionage Problern  Espion International Inc. 3 leader in the fight against email based viruses spam and outbound threats of corporate espionage announced a partnership with Remington Associates LTD. a Schaumburg IL based Value Added Reseller ("VAR") and Microsoft Security Gold Partner  Espion has developed artificial intelligence ("AI")  software that learns to recognize a company's sensitive  data in its email communication. Once recognized this data can either be blocked or the message can be sent securely using advanced encryption technology.  Remington Associates ("Remington") has provided consulting and project management in the information security sector for nearly ten years. Remington will be introducing Espion's Interceptor with Email Encryption to their many customers that are in need of an encryption solution to monitor and protect the transmission of sensitive corporate dats as well as meet government regulatory requirements under HIPAA GLBA and Sarbanes-Oxley.  Read More On Your Favorite Financial Website! ADD EPLI TO YOUR WATCHLIST NOW!  WATCH IT TRADE STARTING WEDNEDAY AUGUST 2nd 2006!  Removal: purgemenow@yshoo.com Disclaimer: ehshwibz.info ,Spam
../Data/Processed\Dredze Spam\1002.jpg,Itis on the move this company is producing real revenue and expanding it's ‘operations this is a real winner and this week corning up itwill have great news  be released with explosive promations dant miss this winner yau can turn 60000 into 8000.00 o 1000.00 into 10000.00 Here is your chance to get in and make |  After extensive research we have picked our bestwinner for this menth - MBAP_ | to  some’serious returns our last retum produced 400%. Here is the information helaw:  Date: 6 December 2008 | Current Price: $0.016 ;  LAS VEGAS NV Dec. 2 PRNewswire-FirstCall/ - Mobile Assets Corp. (MBAP- 3 OTCPK) announced today that ithas appointed attorney and business American zone (Latin America) to exploit significant mobile market opportunities  ployed with Latin America reflecting a 127% growth in the last year. "As we complete our infrastructure development strategy in 2006 and turn to  market driven opportunities in 2006 we wanted fo compte a very important | piece of our coverage strategy by implementing Mobile Assets coverage in  Central and South America" stated Peter Zmudzki President and CEO ofMobile § Assets. He continued "Under Isalas' leadership in Venezuela we expect rapid  marlet penetration of our applications and services.”  Conclusion | Mie ae prOUG of our company and will stive to make ita leader nota follower”  WE think that says itall and from aman that should know The CEO ofthe  company!  ,Spam
../Data/Processed\Dredze Spam\1003.jpg,"ATTENTION ALL DAY TRADERS AND INVESTORS***  INVESOTR ALERT! TT LOOKS LIKE ANOTHER RUN FOR SWNM! WATCH SWNM LIKE & HAWK ON MONDAY AUG 1 2006  Company Name: SOUTHWESTERN MEDICAL INC Stock Symbol: SWNM  Friday Close: 0.09  Market Cap: $33000000.00 (Approx)  SWINMLPK RELEASES BREAKING NEWS !  Southwestern Medical Solutions Inc (PINKSHEETS: SWNM)  is pleased ta announce that ithas entered into the Farmal stages of negotiations regarding Pacfc Rim nations distribution Fors proprietary Labguard(TM) product in.  During the last 3 months Southwestern Medical has held discussions gathered data and’explored the prospective icensing ofits Labguard(TM) lagnostic system to be sold through internationally based distribution companies into Pacific Rim areas. The intial interest has been for the sale  of the product for government employee testing programs such as poice forces local and state level workers and also includes higher-level workforces Reasons cited forthe interest of the Labguard(TM) product have been the enhanced ease of use of the product and immediste on-site confirmation  as well as increased reiablity of the results.  (CHECK FAVORITE NEWS SITE FOR MORE)  ~ ADD THIS GEM TO YOUR RADAR AND WATCH TRADE ON MONDAY! DON'T EVEN BLINK! ~ SWNM DOESN'T SLEEI  Removal: my metsyahoo.com Disclaimer: http://www. ehshwibeinfo ,Spam
../Data/Processed\Dredze Spam\1004.jpg,TMINE-RE - TH TER  @ ~ Valium y Tramadol care  30x 10mg Tablets 30x 50mg Tablets ONLY $69.95 onty $69.95  eu *Cialis “ye ~ Viagra 10x20mgTanlets 10x 100mg Tablets ony $89.95 onty $69.95  ‘ae ~ Phentermine ony$69.95  And much more packages well below 10081 Click Here For More Meds  ,Spam
../Data/Processed\Dredze Spam\1005.jpg,‘TAG HEUER FOR LESS THAN $200?  Vest Order two ormore perfect replicas and payless Sian $200 each! Hurry our stocks are getting lower. ORDER NOW!  GREAT HOLIDAY GIFT CLICK HERE ,Spam
../Data/Processed\Dredze Spam\1006.jpg,WATCH THIS ONE Deceneber 12th  BREAKING NEWS ALERT ISSUE - BIG NEWS COMING ‘Market Maver Stock Repor  Here is ow NEXT HOT PICK which we feel is the mast undervalued stock we have ever featured and should outperform all other picks this year based on their sales figures incredibly solid murdbers and low outstanding share total  Company: (China World Trade Corp. Sy: CWTD.OB  Date: 12.Dee 2005 CURRENT PRICE: $18  7 DAY TARGET: $500  ‘This Will Be Our 3rd Winning Pick in 30 Days. Watch CWTD Trade Monday.  Look for huge NEWS this company-back on the move. Rumaar has the shorts are going to be ‘broken and STOCK will run This STOCK has had GREAT maverent and support the last 15 months it isa strong company growing in leaps and bounds.  CEO CAST.COM BUSINESSWEEK COM P R NEWSWIRE PENNYSTOCK WEEKLY .COM YAHOO FINANCE HAS REPORTS FOR SALE. How uch mone credibility da you need  | | Company hs been profiled on CNN ASIA FORBES.COM BLOOMBERG COM AMEX EXCHANGE LISTING WAITS IN THE WINGS THIS 5 BIG! COMPANY FILED FOR AMEX 10 MONTHS AGO AND IS FINALLY READY TO GO UP BASED bole  Could this a "Rising Star Stock! for yourportolio? You may esl ges ta the i ie ee Gand is ee EXPLODED in pe went  You may want to consider the "Chinese Fortune Cookie" Strategy: Rising Star Chinese Companies trading in the US Consider adding CWTD to your potfolia today! (The Momentum has Started but i's not too late to make & Good Profit)  | soni nv AND sQUEzzE THE sHoRTS: cwrD  ‘Take a lnok at our last Strong Buy recomendatons !! Get in CWTD while it's hot ,Spam
../Data/Processed\Dredze Spam\1007.jpg,YOU GOT IT FIRST!  1 Ready to Rum!!! (RUNNING NOW 11] 1! Big Winner!  SPECIAL SITUATION ALERT  UP 0.09 (5.63%) on BIG Rally Wednesday Stock makes Nice Move Expect GREAT Thusday  :  | | Date: 8 December 2005  Gorapany: CHINA WORLD TRADE CORP  Symbol cCwTD.OB  CURRENT PRICE: if)  ) Projection 7 Days: $4.50 - $5.00 (Big move this moming) ‘Thhusday could be HUGHI!!! | ;  Pross Release Isssur: China World Trade Comporation announced record revenues for thd quarter 2005 results on November 16 2005 Revenues were up 100.5% year over year with net profit increase to $935170 or $0.03 eamings per share  ‘About China World Trade Corporation China Worl! Trade Comporation (CWC) has established its business in thee distinct sas: the club and business centers thoughout ntajor cities inChina | Dbusiness travel-related services and lnusiness value-added services. The Club and | Business Center Divison is devoted to the building of the World Trade brand | houglout Chia he opening td operating obsess cb in Chins non positioning the CWTC to art asa platfonn to facilitate trade between China and the | Jporld matkots The aoqubstion of CEO Clubs China Limited (°CEO Clubs") in| ‘May 2004 futher complecents CWC offerings by targeting high-level corpo cue om peer cnapenin. The Buss Teveling Senvices | Division New Generation provides CWTC access tothe pily growing tavele | ted natty. NewGereatin poner and mat ies nthe teal agency business through its strong network of ticketing sales operations throughout ? Southem China The Business Value-Added Services Division focuses on valte- | albdiewses ofc std nowint-rlstdbwiwa sores vel | consultancy srvits to CWT monbers and clients. Gumngiong Worl Trade | : Link Information Services Limited ("WTC Link”) a subsidiary of CWTC ranages the Company’s co-branded credit card project andis an active provider of | CRM solutions and servies in China  | ‘Cou istea "Rising St Sok youn? Younay | olyage tl rentpanyscbagenns ets lng Sn | Soave ci EAPLODED pte sey  You may want to consider the "Chinese Fortune Cookie" Strategy: Rising Star Chinese Companies trading in the US. Consider adding CWTD ta your portfolio today!  ,Spam
../Data/Processed\Dredze Spam\1008.jpg,Hot Stock For Your Attention  ENERGY FINDERS INC EGYR)  AUS-hased company dedicated to the goal of being a large independent in the exploration and production of oil and natural gas.  Current Price: 1.70 3 Days Ago: 125 20% up  10.Days Ago: 0.45 260% up  This Stick start from 0.45 ten days ago and now jump to 1.701! 260% up.  ‘Willit still Ga Higher? Does it Sound New and Exciting to You?  ‘Why consider ENERGY FINDERS INC (EGYR)? See nowadays what happened  Crude oil prices remained in record tenitory after soaring to new highs Friday past $66 a bane as reports of new US. refinery outages rekindled fears that gasoline supplies in the worlds biggest consumer would struggle to meet rising demand  A spate of refinery glitches an unusually active hurricane season in the U.S. and concems over Iran's decision to resume uranium conversion activities weighed heavily on people's minds pushing prices upward analysts said  With bullish sentiment unabated and crude prices hitting consecutive highs this week analysts expect ront-month crue contracts to test the $70 a barrel threshold.  Analysts said gasoline demand currently at its peak in the U.S. summer driving season was pushing crude's gains. Last week US. gasoline demand picked up ‘by 1.4 percent from a year ago according ta government data  "People fear there won't be enough gasoline at a time when it's so greatly demanded so they're just buying buying and buying" said Tetsu Emon chief commodities strategist at Mitsui Bussan Futures in Tokyo  Oil prices are almost 50 percent higher then a year ago but they would need to surpass $90 a barrel to exceed the inflation-adjusted peak set in 1980 Stocks have ‘built rapidly in the fist half of 2005 despite $60 oil but clearly the market verdict  remains more inventories are needed until investment responses catch up and demand pattems are clearer  Breaking News for ENERGY FINDERS INC! Energy Finders Inc «Florida corporation has entered into a joint  venture Agreement with Intemational TME Resources Inc. ta develop a heavy oil project in Southwest Texas. The Project identified as the Mega-West Project is located West of  San Antonio Texas. The initial black of oil and gas leases is roughly about 14000 acres.  About international TME Resources Ine. Intemational TME Resources Inc. is « Royalty Oil and Gas Holdings  Company. The company now holds rayalty interests in 4281123 acres in the Cooper-Eromanga Basin in Australia. The company also holds royalty interests in 370572 acres in the Gippsland Basin in the state of Victoria Australia Total royalty holdings snow total 4651695 aces.  About the Company Energy Finders Inc. is aU S-based company dedicated ta the goal of  ‘being a large independent in the exploration and production of oil and natural gas.  The company's mission is to create value for our shareholders by applying strong technical expertise to strategies thet will unlock substantial oil and gas resources in areas where production can be achieved quickly and efficiently.  Conclusion: ‘The Examples Above Show The Awesome Eaming Potential of Little Known  Companies That Explode Onto Investor's Radar Screens; Many of You Are Already Fanailiar with This. Is EGYF Poised and Positioned to Do that For You? Then You May Feel the Time Has Come to Act... And Please Wath this One Trade Tuesday and Wednesday!  Go EGYE.  Panny tocs ae consideedhighlyspcubtive ndmaybewnsutable feral vary sggrssine hese ue Dron in wayyained wh ‘he Snmed company.  ‘ewer coupansted 2000 dollstodstethisrepart. This  ‘pots for xtatanmar and adretising purposes only nd shouldnt be used ae ftesmae atric  yvuwichto stop nme mailings or ifyousel youbare been ,Spam
../Data/Processed\Dredze Spam\1009.jpg,To All Invest:  Strategy Br: Stocks That ney Masters” Picked Stocks t ge af 147%! “; Investing Like foney Masters”!  ary 8 260 2 Services Corp  HISI IS  a  =  READY TO EXPLODE! ,Spam
../Data/Processed\Dredze Spam\1010.jpg,Abazias Completes First Traunche of Funding  75% Off Diamond Rings ‘Whoksake Pricing No Tax Free Shipping except for Fl. &'30 day return no questions asked!  Abazias Inc.  ABZS.OB Fist fo go ble and the Ingest online purveyor of loose damsns on the web Congratulations! ‘Abazigs Diamonds Ends Quarter with 89% Increase in Sales and Cash Flaw Positive Diambnds are a gisls hest friend especially when you can design your own engagement ring and pay ‘wholesale too! Guys? Didyou hear that? Wholesale? Design your oun ring? Does it get any better than wh? Vow trating at just 9 cents! ‘We believe this sa company that wont be fying under the Wall St. vadans for long. Why yeu ask?  1. Abazias database of 60000 diamonds is among the lagest certified loose diamond databases in existence and is vvaled at over $350 million  2._Abazias Internet diainond bisiness had sales of $2.06 million n 2004 with an increase in gross profitofmeanly 140 pencent from 2003 the frst year the company went pblic (ABZS.OB)  3. Online jewel sales ane expected to hit $28 billion this year up fiom $2 billion last year acconding to Fons eseates  4 How safe ist to onder diamonds online fiom Abazias ‘ne? Abazias scoved a perfect 100% fromthe Salle Shopping Network. The scores were based on safety usilty and performance an overall 100%  ‘S. Abazias Inc. has created a strong custome following based on customer service and site innovations that let Shoppers create ther own jewelry. In addition to delivering quality diamonds at wholesale prices Abazias Ine. is  abo afil- service jeweler offering a lange selection of seltings for stones purchased. Every diamond purchase has a 10-day no questions asked retum policy for 100% of purchase price!  Conchason ‘An innovaen Abacias has been a part of the online diamond indusiy as a public company since October 2008 ‘setting the pave for lager entitias such as Hhae Nil Abacas com has supazsed its competitors by offering auate diamonds competitive pricing and exceptional cartooner serve to sccetd The company has alsa navigated their ‘way inta the marketplace by creating strategic ances Hough promotions with wellkaiow consume ‘ublications uch as Men's Fitness and Lusky Magazine  Bh Nike trades over $33.00 Abazias trades currenfly at 9 cents. ‘Where do you think the biggest bang for your budkis?  Chart this company. Youvell see what we saw. Yourbest opportunity is vight mow. YOU need to watch this one closely. It just ight be our best pick ever.  PS. Dont forget the holiday season is approaching. Check gut the Abazias site by going to yaloo or any financial site The web addness wil be listed in all press releases ,Spam
../Data/Processed\Dredze Spam\1011.jpg,Order Canadian Medicines Online  Generic Viagra $3.5 per item  Cialis soft tabs $5.78 per item  Cialis $5.67 per item  Viagra soft tabs $4.1 per item  valium $2.89 per item  Soma $1.38 per item ,Spam
../Data/Processed\Dredze Spam\1012.jpg,Lowest Price Guarantee & Fast Delivery 100% top Qualty of ALL Products cb not click type in your browser wwww.B BB rx.org  so Viagra 100mg $2.00 | _ViagraST 100mg $2.89 @ Vaiun toms $2.00 |. Xanax 1 my $2.00 Ge Cialis 20mg $2.00 | CiatisST 20mq $2.89 Ambien 10mg $2.00 | _Antivan 2 mg $1.90  wz Soma 360mg $2.44 [@ Meridia tome $3.00  |Welcome - Microsoft Internet Explorer  File Edt View Favorites Tools Help  @ DB G| Qsearcn  Back =  Do not click just type www. BBBrx.org in address bar of your browser then click enter  ,Spam
../Data/Processed\Dredze Spam\1013.jpg,Rolex Omega Tag Heuer Cartier Breitling and many others.  Less than $250! Worldwide shipping! Get two watches and a 25% discount will apply! CLICK HERE AND ORDER NOW! LOOK RICHI ,Spam
