Image_File,Train_Text,IsSpam
../Data/Processed\SpamHunter Spam\2618.jpg,dull daucare eoepeli s ponday olb apr ps information company phusidsens qduld daucate ihe auea ang hole daugars find vatidatiton daycar fursues expand adipting rdult beygere rellease contain ng statements offer bugver sell,Spam
../Data/Processed\Dredze Spam\731.jpg,investor alert issue qcpc jan 30th gcpc quantex capital corp symbol qcpc price 038 705 sday target 150 rat strong buy qupcpk watch fly open mon jan 30th,Spam
../Data/Processed\Dredze Ham\380.jpg,spend 27 million get lousy tshirt ef ahi,Ham
../Data/Processed\Dredze Spam\832.jpg,investor alert issue start right eye glue monday dee sth 2005 mw1sob explosivepick members 1s qur lock month symbol mwis gb current price 15 57 day trade projection 50 90 io hpyifinance yahoocom enter stock symbol deials,Spam
../Data/Processed\Dredze Spam\1121.jpg,fix low rate mortgage notice preapproved 420000 loan fix low rate bad credit bankrupey doesnt matter low rat fix matter click obligation quote,Spam
../Data/Processed\Dredze Ham\436.jpg,hoe pve anniversary paki issue playboy present w girls ti avghanistan 8 ena th trelsurels pcar bear ee olla os te atyle oe yl alll eritbgiousyear retort la inert awsasoun y ay tact eer ai,Ham
../Data/Processed\Dredze Spam\883.jpg,today seven people world familiar omega watch brand reason success say reliably fine quality omega watch 900 watch choose order 2 watch 25 discount onthe order shi click pick worldwide,Spam
../Data/Processed\Dredze Ham\259.jpg,jew 165 bookmarks tot window elelp sy 7a ety ee b vaeritapnin operon easaarn 2 fi hafiie gooukivats gimeiwal ceara bai poppe velnwpaies pow powciavize ocp horrhes mima weleomie ocp prospective students minyain things pis leariingat penh weekly anioundeiieit envail shabbat security ay list wisit sick media gallary graduate students ivley enyapenienitt es,Ham
../Data/Processed\Dredze Ham\378.jpg,country style pork ye,Ham
../Data/Processed\Dredze Ham\344.jpg,term lite cwerage ut 70 sulvey ine lod lite ins ace ompacies aw grcwne nest rales aailabie lode wear wan ace remerine youl faraily sae jegernc cis smokers qualify special rat click free quote,Ham
../Data/Processed\Dredze Spam\2176.jpg,leon ff al monday d investors alert monday dec 18 diaaf jany diamant film ac symbol diaar 0b capiate orice 0 dbi 4975 ihereasl feggar 4002 anon ge boa roduc aim long te ay oflife znd preseiitgg environment 5 gb te,Spam
../Data/Processed\Princeton\2399.jpg,bowe ase pga wate sahabely spurzes christmas special receive 25 total price whien buy 2 watch oystecperpewa oyster pevpetuad oyster rerpetwal cossaoyrapledayiena setuualnes gy date p special 26600 pspecis 22900 hspecist 29900 pues sare,Spam
../Data/Processed\Dredze Spam\1960.jpg,hello time youve ask canadian pharrnacy shop research surely mycanadianpharmacy drug store sell highquality medications need aware quality rnedications usa opportunity buy meds lower price www rnycanadian net t recommend buy medications drug store best regard dr william clark,Spam
../Data/Processed\Princeton\2339.jpg,new stock investor alert china biolife enterprises cbfepk hot nutraceutical sector 5day target 1000 rat strong buy bank holiday china biojfe enterpfises irc aleacing company nutraceutical market china watch cbfe explode thur dec 28 corer,Spam
../Data/Processed\Dredze Spam\1016.jpg,lose weight stimulants prescription require lose 20 poundsmonth bum fat natural ingredients burn unwanted fat,Spam
../Data/Processed\SpamHunter Spam\2571.jpg,ma bachelons mastens mba doctorate phi diploma ave seu think thet thing stoppin seu cn geet jb ad bctler pany 4 teter etand bball 46 weeks wp study reaured fool bevifisl shep ae tir refable cectified trnaapte ae sleo available number 1 z0 b1b2z44 raiment,Spam
../Data/Processed\Dredze Spam\1992.jpg,dear home owner prequalifiei send email awhile ayo qualify lower rate base biggest rate drop years 365000 little 610 mont bad credit doesnt matter low rat fix matter let 3000 lenders compete refinance home credit report need good credit bad creditwe dont care best refinance rate crest challenge best customer service lowest rat years save 100500 month follow link application 24 hour approval click best regarils administrative loan officer sarah johnson term condition home owner,Spam
../Data/Processed\Dredze Spam\1476.jpg,money problem geta grant government grant available reasans include business setup expansion home purchase renovation rent payment assistance personal ar business bill education loan payott automobile purchase mare 5000 10000 26000 repay free information kit click dant despair help available free information change situation naw,Spam
../Data/Processed\Dredze Spam\2165.jpg,company hy trade ino date thursday july20 2006 sanbol y hlvc curren price 026 075 io az month target price past 30 years stockbrokerage firm grow faster eblized preater grovite ang ether industry af hat include poe bigineso generation canbining cuftingeoee technolog gigh gn evplosive marketplace iveaking grind furst bireet access electranie trade center unite state direct access tithe profesional bigwall street firm cut traders give individual invester paver trde like big boys major pr campaign hegun trade 02503 gente gate huge e 2 ue alert investores watch trade thursday torning,Spam
../Data/Processed\Dredze Spam\2240.jpg,cialis site 20mg praceyourerder ody 95 netquearne val 30 ue x20 place arriba crux 136 m seqgesroee phentermine 0 gils375m9 pracevourerder ade 139 rbbesthon vicodin es 0 ite placeyour orderiodest ony 238 fecgibsr sve y 7 soma 30 pile x350a lace jour ors ody ony 149 nequerva ambien 30 iisx5ms placeyour ones ogo ony 138 requeston xanax 3 pts x29 plce ote ony 165 segue propecia 30 ost90 paceyour order nay 239 segura prozac 20 gs 228m plece jour ocertooay ony 152 equestrowe ai ret aegtaranosen case ne eta oger nt fetogt banocetnns rier 995560 efing bid od egahnes ian woreotu lascae conn sentaytt oo orb 5800 saab s800 ee tian senate 8950 aeopsign 00 eaghondai,Spam
../Data/Processed\SpamHunter Spam\2574.jpg,lowest price guarantee fast delivery click type browser httpawwewpillabcorg viagra viagra st oomy 200 100mg 283 valium xanax toma 200 1mg 200 es ambien 20mg 200 100mg200 mor meds click typehttpwwwpillabeorg address bar browser press enter key,Spam
