Image_File,Train_Text,IsSpam
../Data/Processed\Princeton\2454.jpg,orange crisis coca cola nikes minute maid products 11 compensate china fruit corporation symbol chfr close 1 195 coke pepsi owners minute maid tropicana orange juice hike price compensate current orange short buyers run foreign suppliers oranges better time chfr climb hard steady check website grad cher tuesday,Spam
../Data/Processed\Dredze Spam\724.jpg,symbol gdki price 039 1143 sday target 1,Spam
../Data/Processed\Dredze Spam\1786.jpg,noble case jyou regal git 300 boms 6x fist deposit deposit 100 buromisd play 400 eurousd service sucha level nat best royal fax buope ease come play royal vip casinoll 233,Spam
../Data/Processed\Dredze Spam\864.jpg,headline medical institutional service corp launch pharmaceutical dispense feature medical institutionl miss currently 091 wednesday expectation 100 gain project 60 day 3 eny thing wednesday morning jan 10 2007g0 miss,Spam
../Data/Processed\Dredze Spam\754.jpg,swiss elegant replica watch rolex tag heuer omega cartier bvigal frank muller click deta,Spam
../Data/Processed\Dredze Spam\1192.jpg,vipwatches offer best quality replica watch browse selection time classics ideal birthdays anniversaries graduations ta,Spam
../Data/Processed\Dredze Spam\843.jpg,buy rolex 229 vip person brand watch buy new social status vip status rolex womens buy premium watch tag heuer click visit shop,Spam
../Data/Processed\Princeton\2434.jpg,dakota fan film continue hit headline motion picture group symbol mprg price 919 target 80 40 dakata fan film hound dog popular sundance film festival nov feature sante barbara international film festival ve amaze veek trade dont lease second chance double money grab mprg thing wednesday,Spam
../Data/Processed\Dredze Spam\1637.jpg,big net chase friviy hore te come yorday go boss rerctoan metal tho sybil al brine 39140 wp 37 sfm sign sublfernsing aigreenent h gra entertainsent mashvile handhe imenupectucing ard disthibution sound end somustic eqpifmant feroketal get board ccopeny fron military gaeing lockheed martin ile sia tale kind news inofoases 295 read news eat buy fie binet thing monday,Spam
../Data/Processed\Dredze Spam\1896.jpg,select lowest rate years heen preapproved 420000 loan fix low cate bad credit bankrupey doesnt matter low rat fix matter click obligation quote,Spam
../Data/Processed\Dredze Spam\1212.jpg,consider difference 7 8 9 inch penis thicker 4 6 inch namower larger manhood endowment penetrate casily sensitive areas wornan longer penis probe deeper search special nerve end add width t0 manhood fill press partner exhilarate sensations,Spam
../Data/Processed\Dredze Spam\1931.jpg,citibank sebr geelrte kundin sehr geehrier kunde der technische dienst der bank fubrt die planmassige aktualisierung der software durch fur die aktualisierung der kundendatenbank ist es notig ihre bankdaten erneut zu bestatigen dafuer mussen sie unseren link unten besuchen wo ihnen eine spezielle form zum ausfullen angeboten wird httoscitibank deshomebankingsecurep ersstarlsessionaspconfirm1 8devicemodehtmlgph diese anweisung wird allen bankkunden gesandt und ist zum erfullen erforderlich wir bite um verstandnis und bedanken uns fur die zusammenarbeit amemberof atigroupt copyright 2005 cticara,Spam
../Data/Processed\Dredze Spam\948.jpg,want date watch webcam date glick free like,Spam
../Data/Processed\SpamHunter Ham\2511.jpg,notdone teread positive confirm western iat pest type sy negative doetots tame le nat ye ch refer t6 pbs guidelines recommendations applicantis abt current teconunentied ageapecit initintizdtionsand haveeticouraged appropriate immunizations ob,Ham
